2026-01-08T13:52:25.825861300 | User: alice | Action: LOGIN_SUCCESS
2026-01-08T13:52:36.935502300 | User: alice | Action: FILE_ENCRYPTED_AND_DELETED: dummy
2026-01-08T13:52:45.964998300 | User: alice | Action: FILE_DECRYPTED: dummy.enc
2026-01-08T13:53:29.401359900 | User: alice | Action: FILE_ENCRYPTED_AND_DELETED: secret.txt
2026-01-08T13:53:45.016542500 | User: alice | Action: FILE_DECRYPTED: secret.txt.enc
2026-01-08T13:54:20.616102600 | User: alice | Action: FILE_ENCRYPTED_AND_DELETED: secret.txt.enc
2026-01-08T13:54:28.551553700 | User: alice | Action: FILE_DECRYPTED: secret.txt.enc.enc
2026-01-08T13:54:45.906182800 | User: alice | Action: FILE_DECRYPTED: secret.txt
2026-01-08T14:00:42.852348500 | User: alice | Action: LOGIN_FAILED
2026-01-08T14:00:48.351847300 | User: alice | Action: LOGIN_FAILED
2026-01-08T14:01:12.827379900 | User: alice | Action: LOGIN_FAILED
2026-01-08T14:01:19.479595200 | User: alice | Action: LOGIN_FAILED
2026-01-08T14:01:22.467829100 | User: alice | Action: LOGIN_FAILED
2026-01-08T14:01:28.452414800 | User: alice | Action: LOGIN_FAILED
2026-01-08T14:01:34.676980500 | User: alice | Action: LOGIN_FAILED
2026-01-08T14:01:40.258075700 | User: alice | Action: LOGIN_FAILED
2026-01-08T14:01:44.375589600 | User: alice | Action: LOGIN_FAILED
2026-01-08T14:01:47.332138100 | User: alice | Action: LOGIN_FAILED
2026-01-08T14:01:51.336381700 | User: alice | Action: LOGIN_FAILED
2026-01-08T14:01:54.599305100 | User: alice | Action: LOGIN_FAILED
2026-01-08T14:27:21.163655600 | User: lister | Action: REGISTER_SUCCESS
2026-01-08T14:27:33.112740600 | User: lister | Action: LOGIN_SUCCESS
2026-01-08T14:27:36.888774800 | User: lister | Action: LOGOUT
2026-01-08T14:29:36.798275 | User: alice | Action: LOGIN_SUCCESS
2026-01-08T14:29:49.366384600 | User: alice | Action: FILE_ENCRYPTED_AND_DELETED: secret.txt
2026-01-08T14:30:33.354331500 | User: alice | Action: FILE_DECRYPTED: secret.txt.enc
2026-01-08T14:30:59.179086900 | User: alice | Action: LOGOUT
2026-01-08T14:56:04.600719200 | User: alice | Action: LOGIN_SUCCESS
2026-01-08T14:56:13.072595400 | User: alice | Action: FILE_ENCRYPTED_AND_DELETED: Gemini_Generated_Image_o2f1gmo2f1gmo2f1.png
2026-01-08T14:56:38.704049100 | User: alice | Action: FILE_DECRYPTED: Gemini_Generated_Image_o2f1gmo2f1gmo2f1.png.enc
2026-01-08T14:57:33.985254600 | User: alice | Action: LOGOUT
2026-01-08T15:21:35.128230 | User: mon | Action: REGISTER_SUCCESS
2026-01-08T15:21:46.745018700 | User: mon | Action: LOGIN_SUCCESS
2026-01-08T15:23:12.869836200 | User: mon | Action: FILE_ENCRYPTED_AND_DELETED: secret.txt
2026-01-08T15:24:06.999015900 | User: mon | Action: FILE_DECRYPTED: secret.txt.enc
2026-01-08T15:24:40.004292 | User: mon | Action: FILE_ENCRYPTED_AND_DELETED: Bridged adapter setting.png
2026-01-08T15:24:53.891854700 | User: mon | Action: FILE_DECRYPTED: Bridged adapter setting.png.enc
2026-01-08T15:25:09.710236900 | User: mon | Action: LOGOUT
2026-01-08T15:26:24.558088100 | User: mon | Action: LOGIN_FAILED
2026-01-08T15:26:31.334108100 | User: mon | Action: LOGIN_SUCCESS
2026-01-08T15:26:32.588139400 | User: mon | Action: LOGOUT
2026-01-08T15:26:41.771777500 | User: mon | Action: LOGIN_FAILED
2026-01-08T15:26:45.086915 | User: mon | Action: LOGIN_FAILED
2026-01-08T15:26:48.331214 | User: mon | Action: LOGIN_FAILED
2026-01-08T15:26:51.156343 | User: mon | Action: LOGIN_FAILED
2026-01-08T15:26:53.873777600 | User: mon | Action: LOGIN_FAILED
2026-01-08T15:26:56.656954400 | User: mon | Action: LOGIN_FAILED
2026-01-08T15:26:58.977046200 | User: mon | Action: LOGIN_FAILED
2026-01-08T15:27:02.288326400 | User: mon | Action: LOGIN_FAILED
2026-01-08T15:27:05.223011500 | User: mon | Action: LOGIN_FAILED
2026-01-08T15:27:08.106910300 | User: mon | Action: LOGIN_FAILED
2026-01-11T21:25:05.570528 | User: alice | Action: LOGIN_SUCCESS
2026-01-11T21:30:29.245106400 | User: alice | Action: LOGIN_SUCCESS
2026-01-11T21:30:37.098955600 | User: alice | Action: LOGOUT
2026-01-11T21:30:45.260796900 | User: alice | Action: LOGIN_SUCCESS
2026-01-11T21:31:12.087517600 | User: alice | Action: LOGOUT
2026-01-11T21:32:21.348849100 | User: alice | Action: LOGIN_SUCCESS
2026-01-11T21:32:29.360848300 | User: alice | Action: FILE_ENCRYPTED_AND_DELETED: secret.txt
2026-01-11T21:32:33.635578700 | User: alice | Action: FILE_DECRYPTED: secret.txt.enc
2026-01-11T21:36:38.194040600 | User: alice | Action: LOGIN_SUCCESS
2026-01-11T21:37:49.095853700 | User: alice | Action: LOGOUT
2026-01-11T21:37:52.346175700 | User: alice | Action: LOGIN_FAILED
2026-01-11T22:06:50.138420500 | User: alice | Action: LOGIN_FAILED
2026-01-11T22:06:52.174365800 | User: alice | Action: LOGIN_FAILED
2026-01-11T22:06:53.883198 | User: alice | Action: LOGIN_FAILED
2026-01-11T22:06:55.508469100 | User: alice | Action: LOGIN_FAILED
2026-01-11T22:06:56.913085100 | User: alice | Action: LOGIN_FAILED
2026-01-11T22:06:58.435481900 | User: alice | Action: LOGIN_FAILED
2026-01-11T22:06:59.790320100 | User: alice | Action: LOGIN_FAILED
2026-01-11T22:07:01.104375700 | User: alice | Action: LOGIN_FAILED
2026-01-11T22:07:02.452225900 | User: alice | Action: LOGIN_FAILED
2026-01-11T22:07:03.916850900 | User: alice | Action: LOGIN_FAILED
2026-01-11T22:10:41.120822 | User: lister | Action: LOGIN_FAILED
2026-01-11T22:11:04.947520700 | User: admin | Action: LOGIN_FAILED
2026-01-11T22:11:39.814371400 | User: addam | Action: REGISTER_SUCCESS
2026-01-11T22:11:45.579529500 | User: addam | Action: LOGIN_SUCCESS
2026-01-11T22:12:34.885606600 | User: addam | Action: FILE_ENCRYPTED_AND_DELETED: Bridged adapter setting.png
2026-01-11T22:13:29.593614600 | User: addam | Action: FILE_ENCRYPTED_AND_DELETED: secret.txt
